date,amount,category,description
2025-01-02,9500,Rent,Apartment rent
2025-01-03,420,Groceries,Weekly groceries
2025-01-05,180,Transport,Uber ride
2025-01-07,250,Utilities,Electricity top-up
2025-01-10,129,Subscriptions,Spotify
2025-01-12,300,Dining,Restaurant dinner
2025-01-15,220,Groceries,Supermarket refill
2025-01-18,95,Transport,Bolt trip
2025-01-20,499,Shopping,Clothing purchase
2025-01-24,170,Utilities,Water bill
2025-02-01,9500,Rent,Apartment rent
2025-02-03,450,Groceries,Weekly groceries
2025-02-06,210,Transport,Uber commute
2025-02-08,260,Utilities,Electricity top-up
2025-02-09,129,Subscriptions,Spotify
2025-02-12,390,Dining,Weekend dining
2025-02-16,245,Groceries,Supermarket refill
2025-02-18,110,Transport,Taxi
2025-02-21,850,Shopping,Electronics accessories
2025-02-25,180,Utilities,Water bill
2025-03-01,9500,Rent,Apartment rent
2025-03-04,480,Groceries,Weekly groceries
2025-03-06,240,Transport,Uber commute
2025-03-09,270,Utilities,Electricity top-up
2025-03-10,149,Subscriptions,Netflix
2025-03-13,420,Dining,Team lunch
2025-03-17,260,Groceries,Supermarket refill
2025-03-20,125,Transport,Bolt trip
2025-03-22,1200,Shopping,Phone payment
2025-03-27,195,Utilities,Water bill
2025-04-01,9500,Rent,Apartment rent
2025-04-04,500,Groceries,Weekly groceries
2025-04-07,250,Transport,Uber commute
2025-04-09,290,Utilities,Electricity top-up
2025-04-11,149,Subscriptions,Netflix
2025-04-14,460,Dining,Restaurant night
2025-04-18,275,Groceries,Supermarket refill
2025-04-22,130,Transport,Taxi
2025-04-25,1600,Shopping,Laptop installment
2025-04-28,210,Utilities,Water bill
